,Dry_p,Wet_p,Country,Season,Year
0,0.002419654123060937,0.011608401989163514,Ethiopia,DJF,2005
1,0.0,0.001336005344021376,Ethiopia,MAM,2005
2,0.0005373064970520752,0.022995265894107057,Ethiopia,JJA,2005
3,0.0038244988144787743,0.003611618842079764,Ethiopia,SON,2005
4,0.0005995203836930455,0.11913136157740474,Somalia,DJF,2005
5,0.001146908560108435,0.005030758002293817,Somalia,MAM,2005
6,0.0,0.004730997810447294,Somalia,JJA,2005
7,0.002279495085250481,0.0009486915961736105,Somalia,SON,2005
8,0.006785980611483967,0.0008650260999254287,Kenya,DJF,2005
9,0.0009775313685439159,0.0,Kenya,MAM,2005
10,1.4590020426028596e-05,0.004099795739714035,Kenya,JJA,2005
11,0.0005162622612287042,0.002566560955822701,Kenya,SON,2005
12,0.0037779262228160022,0.004238105841312254,Ethiopia,DJF,2006
13,0.0013214835468037525,0.0015683540995033544,Ethiopia,MAM,2006
14,0.00032674043739653214,0.0006607417734018762,Ethiopia,JJA,2006
15,0.0,0.004573249062227018,Ethiopia,SON,2006
16,0.0011457500666133757,0.021516120436983744,Somalia,DJF,2006
17,0.0,0.0005734542800542175,Somalia,MAM,2006
18,0.00019549577729121052,0.000781983109164842,Somalia,JJA,2006
19,0.0,0.027380293567343922,Somalia,SON,2006
20,0.017926920208799404,0.02007457121551081,Kenya,DJF,2006
21,1.4590020426028596e-05,8.754012255617157e-05,Kenya,MAM,2006
22,7.295010213014298e-05,0.0018237525532535743,Kenya,JJA,2006
23,4.425105096246036e-05,0.03587285198023453,Kenya,SON,2006
24,0.01068804275217101,0.022971869665256436,Ethiopia,DJF,2007
25,0.0008495251372309838,6.534808747930643e-05,Ethiopia,MAM,2007
26,1.4521797217623653e-05,0.0071519851296796486,Ethiopia,JJA,2007
27,0.0006826840494175164,0.0064818281251146975,Ethiopia,SON,2007
28,1.3322675193178791e-05,0.02771116440181188,Somalia,DJF,2007
29,0.0003649254509435929,0.0016812636847044105,Somalia,MAM,2007
30,0.00026066103638828066,0.009188301532686894,Somalia,JJA,2007
31,0.0,0.001409861122091338,Somalia,SON,2007
32,0.0024757643549589855,0.05458612975391498,Kenya,DJF,2007
33,0.0019404727166618032,0.00436241610738255,Kenya,MAM,2007
34,0.00021885030639042896,0.05256784359498104,Kenya,JJA,2007
35,0.0,0.05718710819381961,Kenya,SON,2007
36,0.03529403128601526,0.0019819859499218217,Ethiopia,DJF,2008
37,0.09942348465046033,0.0002686532485260376,Ethiopia,MAM,2008
38,0.0668656152885481,0.0009874822107984083,Ethiopia,JJA,2008
39,0.004176851872242654,0.004771447657219201,Ethiopia,SON,2008
40,0.0,0.0013308034890768703,Somalia,DJF,2008
41,0.08209519341048899,0.02504952559691377,Somalia,MAM,2008
42,0.054478156605150665,0.017125430090710044,Somalia,JJA,2008
43,2.635254433815585e-05,0.10986375734577175,Somalia,SON,2008
44,0.004012095287263073,0.00039825945866214324,Kenya,DJF,2008
45,4.3770061278085785e-05,0.0,Kenya,MAM,2008
46,0.04479136270790779,0.00023344032681645754,Kenya,JJA,2008
47,0.0007375175160410061,0.005339626816136883,Kenya,SON,2008
48,0.020722927336153787,0.008869591033919691,Ethiopia,DJF,2009
49,0.03426418053498301,6.534808747930644e-05,Ethiopia,MAM,2009
50,0.22217623653103308,4.3565391652870956e-05,Ethiopia,JJA,2009
51,0.05573050863632025,0.001387390164945275,Ethiopia,SON,2009
52,0.040487609912070344,0.0012390087929656274,Somalia,DJF,2009
53,0.019393181107288084,0.00019549577729121052,Somalia,MAM,2009
54,0.028359920759044942,0.0,Somalia,JJA,2009
55,0.01884206920178143,0.00985585158247029,Somalia,SON,2009
56,0.034765100671140935,0.0005369127516778524,Kenya,DJF,2009
57,0.08755471257659761,0.0,Kenya,MAM,2009
58,0.12038225853516195,0.0,Kenya,JJA,2009
59,0.13139612065786563,0.009941736116232761,Kenya,SON,2009
60,0.09908706301491874,0.0030802345431603945,Ethiopia,DJF,2010
61,7.986988469693008e-05,0.0991548314019343,Ethiopia,MAM,2010
62,3.630449304405913e-05,0.019248642211960154,Ethiopia,JJA,2010
63,0.0650385019122494,0.014850213247006834,Ethiopia,SON,2010
64,0.2563549160671463,0.0008659738875566213,Somalia,DJF,2010
65,0.0,0.06055155875299761,Somalia,MAM,2010
66,3.9099155458242104e-05,0.05300542174955688,Somalia,JJA,2010
67,0.2063535984399294,0.04771128152423116,Somalia,SON,2010
68,0.09030574198359434,0.0005667412378821776,Kenya,DJF,2010
69,0.0,0.047782316895243655,Kenya,MAM,2010
70,0.00030639042894660054,0.0009483513276918588,Kenya,JJA,2010
71,0.032509772107087546,0.0015635371340069328,Kenya,SON,2010
72,0.1102130186298523,0.012922140577451197,Ethiopia,DJF,2011
73,0.1478318956754088,2.9043594435247305e-05,Ethiopia,MAM,2011
74,0.028658766808980277,0.002519531817257704,Ethiopia,JJA,2011
75,0.002995000990992975,0.007054401843981002,Ethiopia,SON,2011
76,0.29622968292033036,0.0019317879030109244,Somalia,DJF,2011
77,0.10572411635908664,0.007924095506203733,Somalia,MAM,2011
78,0.06414868105515588,0.048430820560942556,Somalia,JJA,2011
79,0.006047908925606769,0.012649221282314807,Somalia,SON,2011
80,0.16459358687546607,0.04976882923191648,Kenya,DJF,2011
81,0.1258681062153487,0.0,Kenya,MAM,2011
82,0.12252699153778815,0.0019404727166618032,Kenya,JJA,2011
83,0.043071022936794746,0.09668854635297587,Kenya,SON,2011
